name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 Leighton Baines,5.0,34.0,25.0,0.52,0.0,1.0,25.0,47.0,15.0,0.0,87.0,64.0,48.0,8.0,14.0,20.0,0.0,0.0,3.0,754.0,34.27,4.0,75.0,0.28,0.0,28.0,1.0,0.0,7.0,1.0,2.0,0.0,0.0,2.0,0.0
 Scott Malone,2.0,23.0,39.0,0.74,0.0,2.0,26.0,38.0,13.0,0.0,89.0,76.0,65.0,15.0,14.0,13.0,0.0,2.0,1.0,493.0,22.41,0.0,46.0,0.07,0.0,41.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
 Andrew Robertson,9.0,18.0,31.0,0.55,1.0,3.0,26.0,49.0,16.0,0.0,140.0,59.0,58.0,9.0,15.0,10.0,0.0,0.0,5.0,1421.0,64.59,8.0,88.0,0.13,3.0,41.0,2.0,0.0,15.0,5.0,1.0,0.0,0.0,1.0,0.0
 Jack Stephens,5.0,33.0,29.0,0.69,2.0,3.0,41.0,105.0,54.0,0.0,138.0,102.0,71.0,17.0,45.0,34.0,0.0,0.0,0.0,928.0,42.18,0.0,9.0,0.22,1.0,46.0,6.0,1.0,13.0,2.0,2.0,1.0,0.0,1.0,0.0
 Davide Zappacosta,3.0,15.0,26.0,0.42,0.0,9.0,6.0,20.0,13.0,0.0,67.0,64.0,68.0,14.0,14.0,6.0,0.0,0.0,1.0,445.0,20.23,2.0,84.0,0.2,0.0,6.0,0.0,0.0,7.0,5.0,1.0,0.0,0.0,1.0,1.0
 Timothy Fosu-Mensah,2.0,29.0,42.0,0.79,1.0,2.0,31.0,66.0,33.0,0.0,97.0,85.0,66.0,11.0,19.0,22.0,0.0,0.0,0.0,612.0,29.14,0.0,17.0,0.24,0.0,32.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
 Javier Manquillo,4.0,31.0,36.0,0.61,0.0,0.0,18.0,49.0,23.0,0.0,70.0,82.0,81.0,12.0,22.0,19.0,0.0,0.0,1.0,540.0,25.71,3.0,30.0,0.2,0.0,24.0,2.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0
 Cuco Martina,5.0,30.0,61.0,0.57,0.0,0.0,42.0,117.0,49.0,1.0,117.0,94.0,91.0,2.0,23.0,35.0,0.0,0.0,2.0,780.0,37.14,2.0,45.0,0.33,1.0,44.0,1.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0
 Sebastian Prödl,5.0,29.0,22.0,0.77,0.0,1.0,31.0,89.0,36.0,0.0,76.0,73.0,56.0,0.0,45.0,28.0,0.0,0.0,0.0,568.0,27.05,1.0,1.0,0.0,0.0,54.0,5.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0
 Geoff Cameron,2.0,31.0,34.0,0.62,1.0,1.0,36.0,61.0,23.0,0.0,89.0,94.0,82.0,14.0,39.0,32.0,0.0,0.0,0.0,506.0,25.3,0.0,9.0,0.0,0.0,28.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ciaran Clark,4.0,30.0,25.0,0.68,0.0,2.0,17.0,140.0,65.0,3.0,95.0,80.0,67.0,4.0,41.0,37.0,0.0,0.0,1.0,699.0,34.95,2.0,2.0,0.0,1.0,61.0,3.0,0.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0
 Paul Dummett,5.0,18.0,28.0,0.71,0.0,1.0,23.0,92.0,56.0,0.0,73.0,93.0,57.0,0.0,55.0,35.0,0.0,1.0,0.0,599.0,29.95,0.0,22.0,0.14,1.0,39.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ezequiel Schelotto,0.0,30.0,20.0,0.65,0.0,1.0,19.0,51.0,30.0,0.0,74.0,73.0,62.0,15.0,27.0,19.0,0.0,0.0,0.0,455.0,22.75,1.0,33.0,0.15,1.0,32.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
 Trent Alexander-Arnold,6.0,18.0,37.0,0.68,0.0,1.0,28.0,39.0,11.0,0.0,133.0,63.0,69.0,20.0,5.0,17.0,0.0,0.0,1.0,1007.0,53.0,3.0,102.0,0.17,3.0,75.0,3.0,0.0,12.0,3.0,1.0,0.0,1.0,0.0,0.0
 Jonjoe Kenny,5.0,31.0,41.0,0.8,0.0,1.0,28.0,73.0,41.0,0.0,85.0,89.0,75.0,6.0,38.0,31.0,0.0,0.0,1.0,587.0,30.89,2.0,46.0,0.26,0.0,49.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ragnar Klavan,8.0,15.0,14.0,0.71,0.0,0.0,15.0,82.0,38.0,0.0,96.0,67.0,55.0,4.0,39.0,40.0,0.0,0.0,0.0,1198.0,63.05,0.0,1.0,0.0,1.0,52.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0
 Mamadou Sakho,6.0,23.0,21.0,0.67,1.0,1.0,30.0,99.0,61.0,0.0,140.0,75.0,51.0,6.0,41.0,35.0,0.0,1.0,2.0,739.0,38.89,2.0,0.0,0.0,1.0,28.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0
 Joel Ward,4.0,25.0,35.0,0.86,1.0,1.0,28.0,61.0,40.0,1.0,100.0,105.0,78.0,8.0,33.0,25.0,1.0,0.0,1.0,681.0,35.84,1.0,46.0,0.22,0.0,40.0,4.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0
 John Stones,6.0,11.0,15.0,0.73,0.0,1.0,19.0,41.0,21.0,0.0,67.0,54.0,28.0,4.0,33.0,11.0,0.0,0.0,0.0,1246.0,69.22,0.0,1.0,0.0,0.0,61.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
 Serge Aurier,6.0,12.0,48.0,0.56,1.0,3.0,31.0,48.0,33.0,0.0,89.0,127.0,91.0,15.0,48.0,29.0,0.0,0.0,2.0,776.0,45.65,5.0,68.0,0.09,1.0,26.0,1.0,1.0,21.0,2.0,2.0,1.0,1.0,0.0,0.0
 Scott Dann,1.0,26.0,10.0,0.5,0.0,3.0,23.0,97.0,60.0,0.0,72.0,68.0,57.0,7.0,49.0,33.0,0.0,1.0,0.0,566.0,33.29,1.0,2.0,0.0,1.0,47.0,4.0,0.0,12.0,2.0,1.0,0.0,0.0,1.0,0.0
 Vincent Kompany,6.0,12.0,20.0,0.55,1.0,2.0,16.0,71.0,39.0,0.0,91.0,66.0,38.0,3.0,42.0,12.0,0.0,0.0,1.0,1429.0,84.06,1.0,0.0,0.0,1.0,84.0,6.0,0.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0
 Victor Lindelöf,5.0,14.0,17.0,0.65,0.0,1.0,13.0,64.0,36.0,0.0,94.0,51.0,41.0,4.0,22.0,25.0,0.0,1.0,0.0,751.0,44.18,1.0,1.0,0.0,0.0,30.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
 Bruno Martins Indi,1.0,27.0,21.0,0.57,1.0,1.0,21.0,76.0,39.0,0.0,55.0,52.0,42.0,0.0,25.0,21.0,0.0,1.0,0.0,351.0,20.65,0.0,4.0,0.75,0.0,27.0,3.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
 Winston Reid,5.0,27.0,11.0,0.82,0.0,1.0,22.0,101.0,57.0,0.0,80.0,69.0,53.0,0.0,44.0,25.0,0.0,0.0,0.0,659.0,38.76,0.0,1.0,0.0,0.0,54.0,5.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
 Kevin Wimmer,1.0,32.0,24.0,0.71,1.0,1.0,30.0,78.0,40.0,0.0,55.0,51.0,60.0,2.0,19.0,24.0,0.0,0.0,0.0,504.0,29.65,0.0,2.0,0.0,0.0,44.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
 Kevin Long,4.0,21.0,32.0,0.72,0.0,5.0,19.0,127.0,76.0,0.0,68.0,131.0,84.0,0.0,80.0,58.0,1.0,1.0,2.0,541.0,33.81,3.0,2.0,0.0,0.0,61.0,1.0,0.0,15.0,1.0,1.0,1.0,0.0,0.0,1.0
 Alberto Moreno,6.0,19.0,35.0,0.74,0.0,7.0,12.0,39.0,16.0,0.0,69.0,69.0,48.0,6.0,10.0,17.0,0.0,0.0,0.0,783.0,48.94,0.0,51.0,0.2,1.0,35.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
 Moritz Bauer,4.0,18.0,24.0,0.71,0.0,2.0,12.0,40.0,15.0,0.0,54.0,74.0,74.0,12.0,19.0,22.0,0.0,0.0,0.0,286.0,19.07,1.0,39.0,0.26,0.0,23.0,4.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
 Mason Holgate,4.0,14.0,23.0,0.7,0.0,1.0,23.0,82.0,44.0,0.0,57.0,75.0,68.0,8.0,33.0,41.0,0.0,1.0,0.0,475.0,31.67,1.0,12.0,0.25,0.0,44.0,3.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0
 Martin Kelly,3.0,21.0,19.0,0.68,1.0,2.0,9.0,63.0,34.0,1.0,43.0,52.0,58.0,2.0,27.0,36.0,1.0,1.0,0.0,343.0,22.87,0.0,6.0,0.0,0.0,27.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
 Toby Alderweireld,5.0,13.0,19.0,0.68,0.0,1.0,4.0,50.0,31.0,0.0,57.0,40.0,45.0,6.0,14.0,29.0,0.0,0.0,0.0,915.0,65.36,0.0,7.0,0.29,1.0,111.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
 Markus Suttner,4.0,18.0,25.0,0.6,0.0,2.0,12.0,37.0,20.0,0.0,59.0,42.0,36.0,1.0,14.0,13.0,0.0,0.0,0.0,438.0,31.29,0.0,45.0,0.11,1.0,40.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
 Eric Bailly,7.0,6.0,17.0,0.59,0.0,1.0,25.0,56.0,14.0,0.0,58.0,47.0,30.0,4.0,17.0,8.0,1.0,0.0,0.0,426.0,32.77,0.0,0.0,0.0,1.0,18.0,2.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0
 Phil Bardsley,4.0,13.0,17.0,0.94,0.0,0.0,22.0,66.0,32.0,1.0,61.0,65.0,67.0,3.0,29.0,27.0,0.0,0.0,0.0,418.0,32.15,0.0,19.0,0.37,0.0,29.0,5.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
 James Collins,3.0,19.0,15.0,0.6,0.0,0.0,16.0,118.0,71.0,0.0,28.0,65.0,48.0,1.0,47.0,34.0,0.0,1.0,0.0,389.0,29.92,1.0,0.0,0.0,0.0,41.0,3.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0
 Terence Kongolo,2.0,14.0,33.0,0.61,0.0,0.0,32.0,64.0,31.0,0.0,50.0,77.0,34.0,7.0,28.0,13.0,0.0,0.0,0.0,311.0,23.92,0.0,10.0,0.2,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
 Miguel Britos,2.0,16.0,15.0,0.73,0.0,0.0,12.0,44.0,28.0,0.0,45.0,50.0,35.0,2.0,27.0,19.0,0.0,1.0,0.0,388.0,32.33,2.0,5.0,0.2,0.0,37.0,3.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0
 Calum Chambers,1.0,14.0,17.0,0.59,0.0,3.0,18.0,44.0,22.0,0.0,71.0,57.0,56.0,7.0,28.0,30.0,0.0,0.0,0.0,600.0,50.0,0.0,7.0,0.14,0.0,31.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
 Seamus Coleman,4.0,12.0,14.0,1.0,0.0,0.0,10.0,23.0,16.0,0.0,53.0,66.0,44.0,25.0,14.0,11.0,0.0,1.0,1.0,357.0,29.75,1.0,28.0,0.14,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
 Rob Holding,3.0,17.0,19.0,0.74,1.0,1.0,21.0,39.0,18.0,0.0,67.0,56.0,46.0,5.0,28.0,20.0,0.0,0.0,0.0,603.0,50.25,0.0,0.0,0.0,1.0,30.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
 Jairo Riedewald,2.0,6.0,11.0,0.73,0.0,0.0,12.0,12.0,6.0,0.0,23.0,18.0,11.0,3.0,4.0,3.0,0.0,0.0,0.0,155.0,12.92,0.0,2.0,1.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
 Marvin Zeegelaar,2.0,17.0,23.0,0.78,0.0,0.0,20.0,25.0,13.0,0.0,63.0,59.0,52.0,15.0,13.0,8.0,0.0,0.0,1.0,422.0,35.17,2.0,38.0,0.26,1.0,16.0,4.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
 Aleksandar Dragovic,3.0,14.0,13.0,0.77,0.0,1.0,16.0,42.0,25.0,2.0,50.0,30.0,24.0,1.0,13.0,9.0,0.0,0.0,0.0,337.0,30.64,0.0,1.0,0.0,0.0,32.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
 Eliaquim Mangala,2.0,7.0,7.0,0.57,0.0,1.0,3.0,28.0,12.0,0.0,44.0,25.0,26.0,4.0,14.0,14.0,0.0,1.0,0.0,413.0,37.55,0.0,0.0,0.0,1.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
 Luke Shaw,6.0,2.0,18.0,0.83,0.0,5.0,4.0,19.0,11.0,0.0,42.0,49.0,38.0,6.0,17.0,19.0,0.0,0.0,0.0,477.0,43.36,0.0,30.0,0.0,0.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
 Charlie Taylor,2.0,12.0,16.0,0.25,0.0,0.0,15.0,39.0,20.0,0.0,57.0,59.0,37.0,8.0,23.0,12.0,0.0,0.0,0.0,326.0,29.64,0.0,26.0,0.23,0.0,14.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
 David Luiz,2.0,13.0,18.0,0.61,0.0,2.0,24.0,41.0,23.0,0.0,66.0,51.0,44.0,3.0,17.0,16.0,0.0,0.0,0.0,492.0,49.2,0.0,1.0,0.0,0.0,40.0,4.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0
 Danny Rose,1.0,14.0,15.0,0.73,0.0,3.0,9.0,10.0,2.0,1.0,45.0,58.0,49.0,11.0,8.0,5.0,0.0,0.0,1.0,378.0,37.8,0.0,57.0,0.19,0.0,20.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
 Glen Johnson,0.0,14.0,7.0,0.71,0.0,1.0,10.0,22.0,9.0,0.0,29.0,21.0,23.0,3.0,6.0,1.0,0.0,0.0,0.0,188.0,20.89,0.0,8.0,0.25,0.0,20.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
 Aymeric Laporte,4.0,5.0,8.0,0.88,0.0,3.0,11.0,26.0,16.0,0.0,90.0,39.0,23.0,3.0,24.0,9.0,0.0,0.0,0.0,811.0,90.11,0.0,2.0,0.5,1.0,42.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
 Chancel Mbemba,1.0,11.0,16.0,0.75,0.0,0.0,15.0,41.0,26.0,0.0,34.0,47.0,34.0,8.0,19.0,17.0,0.0,0.0,0.0,213.0,23.67,1.0,7.0,0.57,1.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
 Gareth McAuley,0.0,15.0,8.0,0.88,0.0,0.0,11.0,15.0,11.0,0.0,26.0,26.0,16.0,1.0,15.0,10.0,0.0,0.0,0.0,125.0,13.89,0.0,1.0,1.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
 Marcos Rojo,3.0,8.0,7.0,0.71,0.0,2.0,7.0,54.0,30.0,0.0,37.0,31.0,22.0,4.0,16.0,7.0,0.0,0.0,0.0,358.0,39.78,0.0,1.0,0.0,0.0,19.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
 José Fonte,3.0,11.0,11.0,0.55,0.0,2.0,14.0,36.0,25.0,0.0,32.0,38.0,30.0,1.0,21.0,19.0,0.0,0.0,1.0,347.0,43.38,1.0,3.0,0.67,0.0,30.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
 Matteo Darmian,3.0,3.0,16.0,0.88,0.0,0.0,7.0,22.0,14.0,0.0,17.0,24.0,27.0,1.0,6.0,6.0,0.0,0.0,0.0,195.0,24.38,0.0,6.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
 Daley Blind,3.0,0.0,6.0,0.67,0.0,1.0,7.0,12.0,8.0,0.0,23.0,19.0,19.0,1.0,8.0,6.0,0.0,0.0,0.0,224.0,32.0,1.0,26.0,0.35,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
 Craig Cathcart,1.0,6.0,8.0,0.63,0.0,0.0,3.0,38.0,18.0,0.0,32.0,20.0,10.0,1.0,10.0,6.0,0.0,0.0,0.0,185.0,26.43,0.0,0.0,0.0,0.0,24.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
 Benjamin Mendy,2.0,1.0,5.0,0.8,0.0,1.0,8.0,8.0,6.0,0.0,21.0,14.0,23.0,3.0,5.0,4.0,0.0,0.0,1.0,188.0,26.86,1.0,39.0,0.21,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
 Thomas Edwards,0.0,15.0,15.0,0.6,0.0,1.0,5.0,19.0,10.0,0.0,29.0,28.0,9.0,3.0,8.0,6.0,0.0,0.0,0.0,162.0,27.0,1.0,15.0,0.13,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
 Per Mertesacker,0.0,7.0,2.0,1.0,0.0,0.0,6.0,21.0,15.0,0.0,32.0,28.0,10.0,0.0,23.0,7.0,0.0,1.0,0.0,247.0,41.17,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
 Molla Wagué,0.0,8.0,5.0,0.6,0.0,0.0,9.0,30.0,18.0,0.0,17.0,22.0,14.0,0.0,16.0,6.0,0.0,0.0,0.0,145.0,24.17,0.0,1.0,1.0,0.0,13.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0
 Kyle Bartley,0.0,4.0,3.0,0.67,0.0,0.0,4.0,21.0,12.0,0.0,3.0,18.0,9.0,0.0,14.0,4.0,0.0,0.0,0.0,115.0,23.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
 Jan Bednarek,1.0,5.0,6.0,0.5,0.0,0.0,5.0,27.0,19.0,0.0,28.0,14.0,24.0,0.0,7.0,17.0,0.0,0.0,0.0,181.0,36.2,0.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
 Sam Byram,0.0,7.0,9.0,0.56,0.0,2.0,9.0,13.0,9.0,0.0,10.0,25.0,17.0,2.0,13.0,8.0,0.0,0.0,0.0,84.0,16.8,0.0,10.0,0.3,0.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
 Patrice Evra,0.0,10.0,6.0,0.67,0.0,0.0,7.0,6.0,4.0,0.0,18.0,18.0,14.0,3.0,7.0,7.0,0.0,0.0,0.0,97.0,19.4,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 Emerson,1.0,4.0,6.0,0.67,0.0,0.0,2.0,9.0,5.0,0.0,17.0,19.0,9.0,5.0,3.0,1.0,0.0,0.0,1.0,131.0,26.2,0.0,15.0,0.13,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
 Konstantinos Stafylidis,0.0,6.0,12.0,0.5,0.0,2.0,5.0,11.0,8.0,1.0,15.0,22.0,13.0,2.0,3.0,2.0,0.0,0.0,0.0,94.0,18.8,0.0,10.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
 Ramiro Funes Mori,0.0,2.0,0.0,0.0,0.0,0.0,3.0,14.0,8.0,0.0,9.0,9.0,8.0,0.0,7.0,4.0,0.0,0.0,0.0,54.0,13.5,0.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
 Tyrone Mings,0.0,5.0,1.0,1.0,0.0,1.0,6.0,13.0,1.0,0.0,14.0,5.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,113.0,28.25,0.0,1.0,1.0,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
 Angel Rangel,0.0,3.0,4.0,0.75,0.0,0.0,3.0,3.0,1.0,0.0,12.0,5.0,10.0,0.0,1.0,5.0,0.0,0.0,0.0,95.0,23.75,0.0,6.0,0.17,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Connor Roberts,0.0,4.0,6.0,0.67,0.0,0.0,3.0,6.0,1.0,0.0,17.0,16.0,6.0,0.0,3.0,6.0,0.0,0.0,0.0,135.0,33.75,0.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Nathaniel Clyne,1.0,1.0,3.0,0.33,0.0,1.0,0.0,3.0,1.0,0.0,10.0,6.0,12.0,0.0,3.0,3.0,0.0,0.0,0.0,104.0,34.67,0.0,7.0,0.14,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
 Martin Cranie,0.0,7.0,3.0,0.67,0.0,0.0,1.0,9.0,4.0,1.0,9.0,6.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,90.0,30.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Connor Goldson,1.0,5.0,2.0,1.0,0.0,1.0,1.0,8.0,6.0,0.0,12.0,13.0,9.0,0.0,10.0,4.0,0.0,0.0,0.0,83.0,27.67,0.0,1.0,0.0,1.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
 Konstantinos Mavropanos,1.0,3.0,1.0,1.0,0.0,0.0,6.0,11.0,9.0,0.0,14.0,8.0,9.0,1.0,4.0,7.0,0.0,0.0,0.0,103.0,34.33,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
 Liam Rosenior,0.0,3.0,4.0,0.75,0.0,0.0,4.0,7.0,4.0,0.0,5.0,6.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,65.0,21.67,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Josh Tymon,0.0,9.0,5.0,0.2,0.0,0.0,1.0,2.0,1.0,0.0,6.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,81.0,27.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Kyle Walker-Peters,1.0,4.0,5.0,0.8,0.0,0.0,3.0,6.0,2.0,0.0,9.0,15.0,16.0,4.0,2.0,4.0,0.0,0.0,2.0,97.0,32.33,2.0,9.0,0.22,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Damien Delaney,0.0,5.0,2.0,0.5,0.0,0.0,3.0,7.0,5.0,0.0,6.0,3.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,38.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Jesús Gámez,1.0,0.0,4.0,0.5,0.0,0.0,2.0,5.0,3.0,0.0,6.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,22.5,0.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Michael Hefele,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
 Younes Kaboul,0.0,3.0,3.0,0.67,0.0,0.0,2.0,15.0,10.0,0.0,7.0,11.0,5.0,0.0,8.0,3.0,0.0,0.0,0.0,76.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Jérémy Pied,0.0,3.0,9.0,0.67,0.0,0.0,8.0,4.0,0.0,0.0,15.0,14.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,96.0,48.0,0.0,7.0,0.14,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Matt Targett,0.0,6.0,6.0,0.5,0.0,0.0,3.0,6.0,3.0,1.0,18.0,13.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,80.0,40.0,1.0,8.0,0.38,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ethan Ampadu,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Yohan Benalouane,0.0,2.0,7.0,0.43,0.0,0.0,1.0,4.0,0.0,0.0,5.0,10.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,27.0,27.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
 Massadio Haidara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Uwe Hünemeier,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Reece Oxford,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Jack Simpson,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Pape Souaré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
