name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 DeAndre Yedlin,7.0,37.0,57.0,0.58,2.0,3.0,44.0,93.0,40.0,1.0,156.0,159.0,145.0,29.0,47.0,50.0,1.0,0.0,2.0,1000.0,29.41,3.0,73.0,0.26,2.0,30.0,5.0,0.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0
 Kurt Zouma,6.0,50.0,50.0,0.76,2.0,5.0,61.0,231.0,136.0,1.0,145.0,202.0,79.0,22.0,109.0,31.0,0.0,0.0,0.0,1021.0,30.03,0.0,11.0,0.09,0.0,85.0,1.0,0.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0
 Marcos Alonso,12.0,30.0,51.0,0.65,0.0,19.0,47.0,60.0,28.0,0.0,193.0,158.0,137.0,17.0,61.0,54.0,0.0,1.0,2.0,1347.0,40.82,4.0,96.0,0.19,0.0,39.0,6.0,0.0,26.0,8.0,7.0,2.0,1.0,4.0,0.0
 Kieran Gibbs,7.0,44.0,41.0,0.59,0.0,4.0,48.0,82.0,41.0,1.0,169.0,117.0,104.0,24.0,42.0,39.0,0.0,0.0,1.0,1014.0,30.73,3.0,74.0,0.26,0.0,39.0,3.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0
 Jamaal Lascelles,9.0,31.0,31.0,0.61,2.0,0.0,28.0,230.0,140.0,1.0,179.0,176.0,88.0,5.0,128.0,60.0,0.0,0.0,0.0,1184.0,35.88,0.0,2.0,0.0,0.0,79.0,5.0,0.0,16.0,0.0,3.0,3.0,0.0,0.0,0.0
 Cédric Soares,7.0,44.0,54.0,0.63,0.0,4.0,24.0,82.0,38.0,0.0,155.0,110.0,115.0,7.0,33.0,62.0,0.0,2.0,3.0,1275.0,39.84,6.0,137.0,0.2,2.0,77.0,3.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0
 Simon Francis,4.0,47.0,49.0,0.69,0.0,6.0,49.0,176.0,99.0,1.0,159.0,217.0,131.0,11.0,142.0,75.0,0.0,2.0,1.0,1606.0,50.19,1.0,78.0,0.31,1.0,123.0,8.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0
 Wes Morgan,5.0,52.0,35.0,0.71,0.0,1.0,31.0,143.0,79.0,0.0,99.0,147.0,104.0,9.0,93.0,58.0,0.0,0.0,0.0,913.0,28.53,0.0,0.0,0.0,0.0,45.0,4.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0
 Angelo Ogbonna,7.0,60.0,30.0,0.8,0.0,3.0,58.0,191.0,103.0,0.0,135.0,135.0,101.0,9.0,80.0,73.0,0.0,0.0,0.0,1013.0,31.66,1.0,2.0,1.0,1.0,90.0,3.0,0.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0
 Kyle Walker,14.0,22.0,47.0,0.66,0.0,3.0,29.0,67.0,40.0,0.0,175.0,161.0,91.0,26.0,70.0,33.0,1.0,0.0,6.0,2362.0,73.81,6.0,56.0,0.09,0.0,87.0,2.0,1.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
