,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,tackles,tackle success,blocked shots,interceptions_y,clearances,headed clearance,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,errors leading to goal
0,Mesut Ozil,Arsenal,89,CAM,72.5,77,68,74.83333333,84,75,76,67,70,77,84.83333333,80,84,79,84,89,93,86,84,70,90,87,0,27.0,54,24,22,16,19,56.75,51,52,68,56,8.0,0.24,2.0,1.0,5.0,0.0,0.0,40.0,18.0,0.45,0.0,4.0,9.0,2110.0,63.94,9.0,187.0,0.32,16.0,56.0,2.0,0.0,14.0,20.0,26.0,0.77,10.0,15.0,9.0,3.0,161.0,98.0,110.0,32.0,7.0,16.0,0.0
1,Paul Pogba,Manchester United,88,CM,77.0,75,79,82.5,84,71,90,76,90,84,83.16666667,78,82,82,85,86,86,89,79,61,90,86,0,72.4,73,70,68,75,76,84.75,72,85,91,91,5.0,0.17,2.0,2.0,1.0,0.0,0.0,92.0,32.0,0.35,6.0,5.0,4.0,2178.0,72.6,7.0,39.0,0.18,28.0,162.0,7.0,0.0,62.0,3.0,53.0,0.75,16.0,33.0,42.0,31.0,221.0,276.0,232.0,72.0,83.0,54.0,0.0
2,Kevin De Bruyne,Manchester City,88,CAM,77.0,76,78,82.83333333,84,83,86,77,85,82,85.16666667,90,78,84,82,89,88,85,78,75,86,88,0,42.8,53,52,30,39,40,72.75,68,65,85,73,6.0,0.17,0.0,5.0,1.0,0.0,1.0,86.0,21.0,0.24,9.0,3.0,18.0,1801.0,50.03,24.0,275.0,0.3,31.0,83.0,4.0,0.0,37.0,2.0,50.0,0.7,25.0,24.0,8.0,3.0,207.0,156.0,204.0,52.0,14.0,27.0,0.0
3,David Silva,Manchester City,87,CAM,68.5,72,65,75.5,81,70,74,77,71,80,84.33333333,85,83,77,78,91,92,85,92,88,90,84,0,35.4,54,41,23,30,29,60.25,51,66,68,56,4.0,0.12,0.0,0.0,4.0,0.0,0.0,48.0,17.0,0.35,1.0,4.0,7.0,2075.0,61.03,12.0,125.0,0.3,26.0,50.0,6.0,0.0,29.0,5.0,43.0,0.74,12.0,17.0,21.0,8.0,184.0,157.0,175.0,46.0,16.0,32.0,0.0
4,Coutinho,Liverpool,86,LW,83.0,89,77,76.5,83,73,85,64,79,75,81.66666667,77,84,79,78,85,87,88,91,91,88,81,0,37.0,47,30,24,44,40,63.5,55,59,79,61,13.0,0.42,0.0,12.0,1.0,0.0,3.0,106.0,38.0,0.36,1.0,4.0,7.0,1402.0,45.23,7.0,126.0,0.29,15.0,72.0,2.0,0.0,18.0,4.0,35.0,0.66,37.0,18.0,5.0,1.0,129.0,147.0,196.0,70.0,6.0,32.0,0.0
5,Cesc Fabregas,Chelsea,86,CM,63.5,65,62,77.83333333,78,76,75,80,77,81,85.83333333,85,77,81,90,91,91,80,65,77,86,81,0,61.8,74,50,60,63,62,64.25,45,68,80,64,5.0,0.17,0.0,4.0,1.0,0.0,0.0,26.0,9.0,0.35,2.0,0.0,12.0,1326.0,45.72,11.0,85.0,0.24,18.0,97.0,8.0,0.0,23.0,0.0,30.0,0.87,5.0,16.0,16.0,8.0,102.0,68.0,67.0,12.0,9.0,14.0,1.0
6,Santi Cazorla,Arsenal,86,CAM,71.5,77,66,78.5,82,77,82,80,78,72,84.0,85,86,78,84,86,85,86,85,91,87,85,0,59.2,58,64,58,64,52,66.75,64,71,72,60,2.0,0.25,0.0,2.0,0.0,2.0,0.0,8.0,4.0,0.5,0.0,0.0,2.0,561.0,70.13,1.0,39.0,0.23,4.0,20.0,2.0,0.0,4.0,1.0,10.0,0.2,2.0,7.0,3.0,1.0,44.0,21.0,32.0,9.0,0.0,5.0,0.0
7,Henrikh Mkhitaryan,Manchester United,85,RM,84.5,85,84,78.5,83,73,75,72,87,81,78.33333333,80,83,64,73,85,85,86,88,83,89,83,0,55.6,53,68,49,53,55,72.25,69,72,85,63,4.0,0.17,0.0,3.0,1.0,0.0,0.0,33.0,16.0,0.48,1.0,2.0,1.0,775.0,32.29,6.0,48.0,0.19,11.0,31.0,1.0,0.0,19.0,8.0,23.0,0.7,7.0,22.0,12.0,4.0,99.0,88.0,130.0,29.0,10.0,24.0,0.0
8,Christian Eriksen,Tottenham Hotspur,85,CAM,76.0,78,74,74.83333333,81,75,79,67,78,69,85.16666667,84,85,87,82,87,86,84,77,81,86,82,0,42.6,52,45,38,56,22,60.25,44,57,88,52,8.0,0.22,0.0,2.0,5.0,0.0,0.0,133.0,45.0,0.34,5.0,3.0,15.0,1977.0,54.92,16.0,245.0,0.22,20.0,107.0,0.0,0.0,20.0,2.0,45.0,0.76,47.0,21.0,20.0,6.0,187.0,119.0,186.0,27.0,21.0,35.0,0.0
9,Ilkay Gundogan,Manchester City,85,CM,75.5,77,74,74.66666667,77,69,74,76,77,75,81.5,74,81,74,83,90,87,87,85,83,88,87,0,62.6,49,79,57,64,64,69.25,68,62,73,74,3.0,0.3,0.0,1.0,2.0,0.0,0.0,16.0,4.0,0.25,0.0,0.0,1.0,505.0,50.5,1.0,7.0,0.14,6.0,10.0,0.0,0.0,2.0,0.0,10.0,0.7,6.0,9.0,4.0,2.0,47.0,32.0,29.0,11.0,2.0,5.0,0.0
