,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,tackles,tackle success,blocked shots,interceptions_y,clearances,headed clearance,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,errors leading to goal
10,Juan Mata,Manchester United,85,CAM,69.0,75,63,76.16666667,82,78,70,81,75,71,83.5,83,84,84,77,86,87,83,89,89,88,85,0,35.2,63,39,25,28,21,60.25,52,72,74,43,6.0,0.24,0.0,1.0,5.0,0.0,0.0,40.0,21.0,0.53,1.0,5.0,3.0,990.0,39.6,4.0,93.0,0.28,6.0,44.0,3.0,0.0,10.0,9.0,22.0,0.77,8.0,12.0,8.0,0.0,94.0,57.0,58.0,15.0,4.0,6.0,0.0
11,Dimitri Payet,West Ham United,85,LM,77.0,79,75,78.66666667,80,76,83,76,78,79,87.0,86,90,91,84,86,85,89,80,81,89,76,0,40.0,59,37,29,36,39,63.5,57,48,73,76,2.0,0.11,0.0,2.0,0.0,0.0,1.0,55.0,15.0,0.27,3.0,2.0,6.0,763.0,42.39,6.0,156.0,0.32,8.0,44.0,2.0,0.0,7.0,0.0,9.0,0.78,20.0,5.0,5.0,0.0,85.0,93.0,88.0,47.0,3.0,7.0,0.0
12,Riyad Mahrez,Leicester City,84,RM,82.5,86,79,75.33333333,81,78,74,72,76,71,78.5,82,78,74,76,80,81,88,92,80,90,75,0,31.2,45,38,25,27,21,58.0,40,59,76,57,6.0,0.17,0.0,1.0,5.0,3.0,0.0,76.0,29.0,0.38,2.0,5.0,3.0,1065.0,29.58,10.0,154.0,0.16,9.0,50.0,4.0,0.0,25.0,8.0,36.0,0.64,29.0,29.0,15.0,7.0,192.0,199.0,284.0,78.0,22.0,59.0,0.0
13,Granit Xhaka,Arsenal,84,CM,51.0,48,54,68.16666667,78,49,85,59,88,50,77.66666667,68,68,70,89,85,86,70,55,62,80,86,0,70.4,62,76,71,75,68,71.25,90,40,79,76,2.0,0.06,0.0,0.0,2.0,0.0,0.0,34.0,9.0,0.26,0.0,0.0,2.0,2298.0,71.81,3.0,26.0,0.19,14.0,182.0,5.0,2.0,37.0,1.0,77.0,0.71,8.0,38.0,33.0,19.0,215.0,148.0,130.0,19.0,33.0,25.0,2.0
14,Nemanja Matic,Chelsea,84,CDM,67.0,66,68,71.33333333,68,64,75,69,78,74,73.66666667,68,68,67,80,82,77,72,57,53,79,82,0,80.2,77,86,76,84,78,83.5,83,71,90,90,1.0,0.03,0.0,1.0,0.0,0.0,0.0,20.0,7.0,0.35,0.0,0.0,7.0,1865.0,53.29,4.0,8.0,0.13,8.0,141.0,4.0,0.0,33.0,1.0,51.0,0.73,7.0,50.0,46.0,32.0,241.0,143.0,133.0,29.0,39.0,26.0,0.0
15,Yaya Toure,Manchester City,84,CM,73.5,69,78,81.0,80,82,85,85,86,68,81.0,67,80,85,83,86,85,79,60,55,82,82,0,70.2,74,60,66,76,75,78.5,78,65,80,91,5.0,0.2,0.0,5.0,0.0,2.0,0.0,32.0,15.0,0.47,1.0,1.0,0.0,1798.0,71.92,1.0,4.0,0.25,12.0,97.0,4.0,0.0,26.0,0.0,42.0,0.67,4.0,16.0,39.0,26.0,131.0,119.0,111.0,27.0,40.0,28.0,0.0
16,Aaron Ramsey,Arsenal,84,CM,69.0,69,69,78.16666667,83,76,75,75,81,79,76.83333333,75,70,70,80,85,81,81,77,75,84,82,0,67.0,58,73,62,74,68,75.0,74,65,92,69,1.0,0.04,0.0,1.0,0.0,0.0,0.0,42.0,12.0,0.29,0.0,2.0,4.0,920.0,40.0,7.0,19.0,0.11,3.0,26.0,3.0,0.0,15.0,2.0,21.0,0.48,13.0,11.0,14.0,3.0,93.0,68.0,77.0,20.0,7.0,10.0,0.0
17,N'Golo Kante,Chelsea,83,CM,80.5,81,80,63.66666667,69,65,66,54,72,56,67.33333333,67,49,49,79,84,76,76,76,90,79,85,0,78.0,54,91,75,87,83,84.75,90,79,94,76,1.0,0.03,0.0,1.0,0.0,0.0,0.0,27.0,7.0,0.26,0.0,2.0,1.0,2122.0,60.63,2.0,10.0,0.1,8.0,136.0,9.0,0.0,53.0,0.0,127.0,0.65,10.0,82.0,41.0,14.0,275.0,197.0,180.0,36.0,19.0,41.0,0.0
18,Ander Herrera,Manchester United,83,CM,73.0,78,68,73.66666667,79,71,74,79,72,67,78.16666667,74,78,65,80,86,86,81,85,84,85,85,0,69.2,60,80,66,72,68,74.5,85,63,85,65,1.0,0.03,0.0,1.0,0.0,0.0,0.0,38.0,6.0,0.16,2.0,1.0,6.0,2089.0,67.39,5.0,50.0,0.36,12.0,114.0,5.0,1.0,47.0,0.0,84.0,0.74,15.0,81.0,51.0,17.0,207.0,186.0,157.0,30.0,27.0,17.0,0.0
19,Oscar,Chelsea,83,CAM,77.5,78,77,73.33333333,81,75,77,68,76,63,78.33333333,70,77,77,80,83,83,82,86,80,84,81,0,44.4,54,34,37,50,47,52.25,31,66,76,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.17,0.0,0.0,1.0,246.0,27.33,1.0,15.0,0.27,1.0,24.0,1.0,0.0,5.0,0.0,22.0,0.73,6.0,5.0,6.0,2.0,22.0,31.0,40.0,1.0,3.0,7.0,0.0
20,Adam Lallana,Liverpool,83,CM,75.0,76,74,73.66666667,77,79,72,70,72,72,77.33333333,74,77,66,78,86,83,85,83,76,85,78,0,64.4,67,66,60,68,61,75.0,74,73,86,67,8.0,0.26,1.0,3.0,4.0,0.0,0.0,50.0,20.0,0.4,2.0,2.0,7.0,1407.0,45.39,4.0,48.0,0.21,4.0,29.0,3.0,0.0,17.0,12.0,51.0,0.67,21.0,20.0,21.0,10.0,155.0,132.0,173.0,30.0,22.0,43.0,0.0
21,Fernandinho,Manchester City,82,CDM,77.0,77,77,73.16666667,68,70,81,61,83,76,74.5,68,70,71,81,82,75,78,79,79,76,82,0,74.4,55,86,72,81,78,78.25,86,72,82,73,2.0,0.06,1.0,1.0,0.0,0.0,0.0,36.0,11.0,0.31,0.0,4.0,1.0,2180.0,68.13,2.0,23.0,0.3,14.0,108.0,4.0,2.0,48.0,1.0,82.0,0.67,9.0,65.0,60.0,37.0,200.0,198.0,198.0,30.0,52.0,52.0,0.0
22,Jordan Henderson,Liverpool,82,CDM,74.5,76,73,70.5,74,67,71,64,75,72,80.5,81,80,74,83,85,80,74,74,71,82,79,0,74.6,65,79,73,80,76,82.0,79,81,93,75,1.0,0.04,0.0,1.0,0.0,0.0,0.0,17.0,4.0,0.24,0.0,1.0,4.0,2057.0,85.71,3.0,65.0,0.25,5.0,165.0,8.0,0.0,28.0,0.0,88.0,0.73,4.0,39.0,40.0,19.0,212.0,135.0,106.0,5.0,26.0,23.0,0.0
23,Dele Alli,Tottenham Hotspur,82,CAM,76.5,77,76,72.5,84,79,74,52,75,71,69.16666667,65,67,46,73,83,81,80,74,58,83,83,0,61.8,70,65,57,60,57,76.75,84,65,88,70,18.0,0.49,4.0,9.0,5.0,1.0,0.0,94.0,44.0,0.47,3.0,11.0,7.0,1328.0,35.89,5.0,22.0,0.0,12.0,59.0,4.0,0.0,50.0,11.0,52.0,0.69,20.0,11.0,17.0,11.0,165.0,192.0,272.0,51.0,14.0,26.0,0.0
24,Morgan Schneiderlin,Manchester United,82,CDM,66.5,69,64,61.66666667,67,64,56,56,71,56,71.16666667,65,68,61,78,82,73,73,71,71,79,81,0,78.2,71,82,76,82,80,80.75,84,72,90,77,1.0,0.06,0.0,1.0,0.0,0.0,0.0,8.0,3.0,0.38,0.0,0.0,0.0,866.0,50.94,0.0,1.0,1.0,0.0,69.0,2.0,0.0,21.0,0.0,26.0,0.73,1.0,31.0,28.0,13.0,89.0,60.0,78.0,9.0,18.0,28.0,1.0
25,Jack Wilshere,Bournemouth,82,CM,76.5,79,74,70.16666667,80,64,73,65,75,64,79.5,73,80,72,83,84,85,84,83,87,84,80,0,61.6,58,61,61,63,65,74.5,83,67,82,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,10.0,0.37,5.0,2.0,2.0,1068.0,36.83,4.0,26.0,0.23,13.0,63.0,4.0,0.0,21.0,0.0,27.0,0.67,10.0,13.0,11.0,3.0,144.0,148.0,110.0,60.0,9.0,10.0,0.0
26,Gylfi Sigurdsson,Swansea City,82,CAM,68.0,67,69,80.16666667,80,81,83,80,82,75,82.83333333,81,86,88,75,83,84,78,72,62,82,77,0,53.4,60,37,55,58,57,69.25,57,70,83,67,9.0,0.24,0.0,5.0,4.0,3.0,2.0,116.0,50.0,0.43,3.0,2.0,13.0,1038.0,27.32,16.0,304.0,0.29,6.0,33.0,2.0,0.0,18.0,1.0,45.0,0.62,30.0,35.0,23.0,4.0,120.0,117.0,142.0,32.0,7.0,17.0,0.0
27,Moussa Dembele,Tottenham Hotspur,82,CM,77.5,78,77,73.0,71,66,72,67,85,77,70.66666667,65,65,55,79,84,76,85,83,71,84,78,0,71.6,68,78,67,80,65,80.75,74,77,82,90,1.0,0.03,0.0,1.0,0.0,0.0,0.0,15.0,3.0,0.2,0.0,0.0,1.0,1479.0,49.3,0.0,3.0,0.67,3.0,57.0,5.0,0.0,45.0,0.0,64.0,0.86,8.0,25.0,20.0,12.0,174.0,185.0,149.0,78.0,23.0,21.0,0.0
28,Ross Barkley,Everton,81,CAM,78.5,79,78,71.0,71,70,79,65,80,61,74.33333333,65,68,70,78,84,81,85,70,59,84,77,0,55.6,65,45,56,60,52,71.75,73,63,74,77,5.0,0.14,1.0,3.0,1.0,0.0,1.0,89.0,30.0,0.34,1.0,5.0,8.0,1651.0,45.86,9.0,113.0,0.26,10.0,111.0,5.0,0.0,49.0,8.0,30.0,0.83,27.0,10.0,35.0,29.0,163.0,171.0,257.0,62.0,42.0,40.0,0.0
29,Erik Lamela, Tottenham Hotspur,81,RM,79.0,81,77,78.5,79,75,82,75,80,80,79.33333333,77,83,79,73,83,81,86,78,71,83,77,0,47.4,71,43,37,47,39,69.25,74,64,82,57,1.0,0.11,1.0,0.0,0.0,0.0,0.0,18.0,7.0,0.39,2.0,1.0,1.0,305.0,33.89,1.0,26.0,0.38,0.0,11.0,1.0,0.0,13.0,1.0,13.0,0.85,6.0,5.0,1.0,0.0,32.0,41.0,60.0,15.0,3.0,6.0,0.0
30,Michael Carrick,Manchester United,81,CDM,52.5,53,52,67.5,66,59,71,64,78,67,75.83333333,72,68,59,85,86,85,71,58,63,80,85,0,76.2,73,83,74,79,72,68.5,67,72,69,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1263.0,54.91,0.0,4.0,0.0,4.0,79.0,2.0,0.0,5.0,0.0,26.0,0.65,3.0,41.0,37.0,18.0,107.0,61.0,38.0,7.0,10.0,8.0,0.0
31,Francis Coquelin,Arsenal,81,CDM,69.5,69,70,55.66666667,64,45,59,52,71,43,63.33333333,60,55,41,73,78,73,74,76,85,79,77,0,77.0,60,87,78,80,80,81.0,92,73,83,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.21,0.0,1.0,0.0,1180.0,40.69,0.0,4.0,0.0,5.0,33.0,5.0,0.0,33.0,0.0,71.0,0.63,5.0,52.0,32.0,22.0,135.0,163.0,114.0,18.0,36.0,17.0,0.0
32,Roberto Pereyra,Watford,81,CM,81.0,81,81,70.83333333,80,61,72,72,66,74,78.33333333,78,78,72,77,83,82,84,82,75,85,76,0,66.8,60,70,64,70,70,69.5,66,65,83,64,2.0,0.15,0.0,1.0,1.0,0.0,0.0,9.0,4.0,0.44,1.0,2.0,2.0,420.0,32.31,3.0,32.0,0.34,0.0,21.0,2.0,1.0,8.0,2.0,8.0,0.75,1.0,8.0,3.0,1.0,81.0,40.0,57.0,12.0,2.0,5.0,0.0
33,James McCarthy,Everton,81,CDM,72.0,75,69,62.16666667,63,57,65,60,67,61,71.83333333,68,64,64,81,82,72,78,66,71,77,75,0,76.0,63,79,81,79,78,78.5,79,66,91,78,1.0,0.08,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.5,0.0,0.0,1.0,247.0,20.58,0.0,4.0,0.25,0.0,19.0,2.0,0.0,10.0,0.0,19.0,0.53,2.0,10.0,8.0,3.0,23.0,42.0,29.0,5.0,11.0,5.0,0.0
34,Georginio Wijnaldum,Liverpool,80,CM,82.0,79,85,75.5,82,76,71,74,77,73,73.33333333,67,76,71,68,82,76,86,82,80,84,82,0,66.4,72,70,59,67,64,73.75,61,82,86,66,6.0,0.17,2.0,3.0,1.0,0.0,0.0,60.0,20.0,0.33,1.0,1.0,9.0,1625.0,45.14,7.0,13.0,0.23,3.0,58.0,2.0,0.0,22.0,3.0,46.0,0.67,17.0,26.0,32.0,20.0,209.0,145.0,155.0,30.0,39.0,39.0,2.0
35,Gareth Barry,Everton,80,CDM,33.0,32,34,66.5,58,56,71,72,77,65,79.0,80,78,78,81,83,74,64,52,63,73,78,0,79.0,74,82,79,80,80,76.5,80,70,79,77,2.0,0.06,1.0,0.0,1.0,0.0,0.0,17.0,7.0,0.41,0.0,0.0,1.0,1376.0,41.7,1.0,22.0,0.23,6.0,100.0,10.0,0.0,48.0,1.0,70.0,0.69,5.0,35.0,57.0,32.0,165.0,136.0,119.0,12.0,32.0,24.0,0.0
36,Claudio Yacob,West Bromwich Albion,80,CDM,53.0,55,51,53.16666667,42,58,67,66,63,23,61.16666667,34,52,55,74,83,69,66,59,68,76,77,0,78.8,78,84,77,81,74,78.5,85,76,83,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,933.0,28.27,0.0,2.0,0.5,0.0,51.0,9.0,0.0,39.0,0.0,94.0,0.69,2.0,54.0,58.0,31.0,176.0,177.0,126.0,4.0,46.0,30.0,0.0
37,Danny Drinkwater,Leicester City,80,CM,68.0,68,68,66.33333333,74,61,73,53,76,61,74.16666667,64,70,69,83,81,78,73,69,78,80,79,0,72.2,61,76,70,79,75,71.25,72,56,83,74,1.0,0.03,0.0,1.0,0.0,0.0,0.0,31.0,3.0,0.1,0.0,0.0,1.0,1745.0,60.17,1.0,27.0,0.07,3.0,106.0,6.0,0.0,46.0,1.0,84.0,0.64,13.0,40.0,52.0,30.0,266.0,153.0,178.0,21.0,38.0,45.0,1.0
38,Emre Can,Liverpool,80,CM,74.5,72,77,67.0,73,60,70,60,78,61,73.33333333,70,68,65,80,81,76,78,75,70,82,77,0,76.6,70,77,78,80,78,81.25,82,74,86,83,5.0,0.16,1.0,3.0,1.0,0.0,0.0,45.0,11.0,0.24,0.0,2.0,2.0,1659.0,51.84,2.0,23.0,0.17,6.0,104.0,6.0,0.0,70.0,2.0,66.0,0.71,15.0,32.0,52.0,27.0,180.0,181.0,194.0,21.0,68.0,57.0,0.0
39,Yohan Cabaye,Crystal Palace,80,CDM,67.0,66,68,74.16666667,70,70,76,78,78,73,78.66666667,72,77,77,81,83,82,71,72,77,82,78,0,73.8,70,79,72,75,73,73.5,77,70,79,68,4.0,0.13,0.0,3.0,1.0,0.0,0.0,40.0,11.0,0.28,0.0,2.0,3.0,984.0,30.75,6.0,109.0,0.26,3.0,56.0,7.0,0.0,31.0,2.0,60.0,0.62,13.0,72.0,21.0,5.0,146.0,102.0,134.0,13.0,8.0,12.0,2.0
40,Jesus Navas,Manchester City,80,RM,88.5,89,88,70.66666667,74,66,74,56,75,79,72.0,79,80,46,74,77,76,83,87,87,81,77,0,30.6,47,33,27,20,26,56.25,50,62,79,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.25,1.0,0.0,0.0,582.0,24.25,3.0,92.0,0.17,2.0,27.0,2.0,0.0,6.0,3.0,19.0,0.95,2.0,22.0,13.0,1.0,60.0,54.0,44.0,15.0,9.0,16.0,0.0
41,Sofiane Boufal,Southampton,80,LW,85.5,86,85,72.0,76,75,69,69,73,70,71.33333333,70,71,72,66,76,73,88,90,85,86,72,0,34.0,35,19,44,40,32,47.75,47,34,70,40,1.0,0.04,0.0,0.0,1.0,0.0,0.0,25.0,7.0,0.28,0.0,0.0,0.0,508.0,21.17,3.0,34.0,0.15,2.0,17.0,5.0,0.0,25.0,1.0,38.0,0.66,8.0,5.0,3.0,1.0,86.0,143.0,157.0,73.0,10.0,13.0,0.0
42,Lucas Leiva,Liverpool,80,CDM,54.0,55,53,47.66666667,49,23,35,61,71,47,66.0,63,66,47,73,78,69,69,70,73,74,78,0,78.2,65,85,80,81,80,79.5,83,82,77,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.13,0.0,1.0,3.0,887.0,36.96,1.0,5.0,0.4,3.0,60.0,4.0,0.0,18.0,0.0,37.0,0.65,2.0,36.0,56.0,33.0,75.0,103.0,79.0,3.0,52.0,38.0,1.0
43,Moussa Sissoko,Tottenham Hotspur,80,RM,80.5,79,82,73.16666667,76,72,71,68,85,67,74.33333333,76,75,74,74,79,68,80,74,63,78,79,0,71.6,70,76,69,72,71,82.75,77,80,88,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0.18,0.0,0.0,2.0,453.0,18.12,0.0,34.0,0.06,0.0,10.0,3.0,0.0,21.0,2.0,14.0,0.86,5.0,7.0,11.0,7.0,53.0,55.0,72.0,20.0,12.0,20.0,0.0
44,Sofiane Feghouli,West Ham United,79,RW,87.5,86,89,70.66666667,76,68,71,62,79,68,69.66666667,78,57,68,67,73,75,85,86,79,84,77,0,35.8,60,31,25,32,31,64.25,55,72,72,58,3.0,0.14,0.0,2.0,1.0,0.0,0.0,20.0,7.0,0.35,0.0,0.0,3.0,376.0,17.9,2.0,64.0,0.28,3.0,26.0,1.0,1.0,11.0,1.0,18.0,0.67,6.0,14.0,8.0,3.0,62.0,63.0,61.0,18.0,9.0,20.0,0.0
45,Victor Wanyama,Tottenham Hotspur,79,CDM,65.5,62,69,66.5,65,63,65,65,79,62,65.33333333,63,62,57,68,75,67,72,72,66,72,81,0,78.8,73,81,77,84,79,87.0,90,81,85,92,4.0,0.11,3.0,1.0,0.0,0.0,0.0,40.0,13.0,0.33,1.0,3.0,1.0,1971.0,54.75,2.0,14.0,0.14,1.0,118.0,10.0,0.0,66.0,0.0,90.0,0.69,9.0,40.0,69.0,38.0,242.0,236.0,212.0,51.0,62.0,61.0,1.0
46,Ibrahim Afellay,Stoke City,79,CAM,77.5,78,77,72.83333333,73,71,76,70,75,72,77.5,78,79,75,74,81,78,81,77,79,82,75,0,50.4,46,54,36,62,54,64.25,52,75,71,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.17,0.0,1.0,0.0,189.0,15.75,1.0,15.0,0.13,1.0,4.0,0.0,0.0,3.0,2.0,3.0,0.67,2.0,4.0,1.0,0.0,35.0,20.0,24.0,9.0,1.0,4.0,0.0
47,Manuel Lanzini,West Ham United,79,CAM,82.0,85,79,69.16666667,72,69,72,68,73,61,74.83333333,74,75,72,75,77,76,85,87,88,85,73,0,30.0,56,23,20,26,25,58.75,35,76,79,45,8.0,0.23,0.0,7.0,1.0,2.0,1.0,69.0,21.0,0.3,1.0,1.0,2.0,1581.0,45.17,5.0,72.0,0.28,7.0,45.0,9.0,0.0,21.0,7.0,44.0,0.68,15.0,45.0,10.0,2.0,227.0,172.0,150.0,88.0,4.0,14.0,0.0
48,Fernando,Manchester City,79,CDM,67.0,66,68,58.66666667,59,54,68,54,76,41,64.66666667,60,65,53,73,75,62,62,74,57,72,79,0,78.6,70,83,78,80,82,81.0,87,72,84,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,370.0,24.67,0.0,0.0,0.0,0.0,17.0,3.0,0.0,11.0,0.0,21.0,0.67,1.0,14.0,32.0,22.0,32.0,47.0,38.0,1.0,18.0,16.0,0.0
49,Giannelli Imbula,Stoke City,79,CM,77.0,79,75,56.5,75,51,77,29,79,28,65.5,55,65,38,76,83,76,81,75,74,80,75,0,72.2,62,78,71,77,73,76.0,73,72,82,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,384.0,32.0,0.0,8.0,0.25,2.0,9.0,1.0,0.0,3.0,0.0,11.0,0.64,1.0,4.0,9.0,4.0,46.0,50.0,44.0,21.0,6.0,8.0,0.0
50,Jack Cork,Swansea City,78,CDM,59.5,64,55,55.5,65,54,50,47,57,60,58.66666667,57,39,24,78,80,74,73,63,71,77,77,0,75.2,71,80,71,78,76,74.25,70,72,83,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,0.28,0.0,2.0,0.0,1285.0,42.83,1.0,20.0,0.1,1.0,76.0,7.0,0.0,25.0,1.0,59.0,0.75,3.0,56.0,48.0,22.0,179.0,148.0,166.0,23.0,37.0,49.0,0.0
51,Michail Antonio,West Ham United,78,RM,88.5,88,89,72.66666667,77,73,70,73,75,68,66.83333333,73,66,60,66,71,65,81,86,76,78,75,0,56.2,88,40,44,56,53,80.5,75,82,80,85,9.0,0.31,7.0,1.0,2.0,0.0,0.0,77.0,23.0,0.3,2.0,7.0,3.0,638.0,22.0,3.0,94.0,0.26,3.0,29.0,4.0,1.0,31.0,20.0,32.0,0.84,21.0,27.0,38.0,16.0,101.0,212.0,258.0,75.0,57.0,104.0,1.0
